soc,name,group,employment,projected,growth,change,exits,transfers,annualChange,openings,education,wage,onet,geography,employment_base_year,projection_year,wage_year,retrieved,source_url
27-1022,Fashion Designers,Arts & media,726.0,783.0,7.85,57.0,26.0,40.0,6.0,72.0,Bachelor's degree,113650.0,27-1022.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
27-1023,Floral Designers,Arts & media,1104.0,1057.0,-4.26,-47.0,74.0,63.0,-5.0,132.0,High school diploma or equivalent,48690.0,27-1023.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
27-1024,Graphic Designers,Arts & media,5913.0,5997.0,1.42,84.0,143.0,288.0,8.0,439.0,Bachelor's degree,79690.0,27-1024.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
27-1025,Interior Designers,Arts & media,1948.0,1935.0,-0.67,-13.0,76.0,88.0,-1.0,163.0,Bachelor's degree,83670.0,27-1025.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
27-1026,Merchandise Displayers and Window Trimmers,Arts & media,4202.0,4250.0,1.14,48.0,198.0,236.0,5.0,439.0,High school diploma or equivalent,47200.0,27-1026.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
27-1027,Set and Exhibit Designers,Arts & media,671.0,682.0,1.64,11.0,19.0,32.0,1.0,52.0,Bachelor's degree,79580.0,27-1027.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
27-2012,Producers and Directors,Arts & media,3803.0,3922.0,3.13,119.0,83.0,188.0,12.0,283.0,Bachelor's degree,94850.0,27-2012.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
27-2022,Coaches and Scouts,Arts & media,8427.0,9213.0,9.33,786.0,528.0,584.0,79.0,1191.0,Bachelor's degree,69940.0,27-2022.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
27-2023,"Umpires, Referees, and Other Sports Officials",Arts & media,256.0,279.0,8.98,23.0,36.0,25.0,2.0,63.0,High school diploma or equivalent,62540.0,27-2023.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
27-2041,Music Directors and Composers,Arts & media,352.0,358.0,1.7,6.0,14.0,18.0,1.0,33.0,Bachelor's degree,93170.0,27-2041.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
