soc,name,group,employment,projected,growth,change,exits,transfers,annualChange,openings,education,wage,onet,geography,employment_base_year,projection_year,wage_year,retrieved,source_url
31-9095,Pharmacy Aides,Healthcare support,332.0,331.0,-0.3,-1.0,18.0,31.0,0.0,49.0,High school diploma or equivalent,38650.0,31-9095.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
31-9096,Veterinary Assistants and Laboratory Animal Caretakers,Healthcare support,1468.0,1510.0,2.86,42.0,81.0,176.0,4.0,261.0,High school diploma or equivalent,48390.0,31-9096.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
31-9097,Phlebotomists,Healthcare support,2853.0,2908.0,1.93,55.0,144.0,209.0,6.0,359.0,Postsecondary non-degree award,52540.0,31-9097.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
31-9099,"Healthcare Support Workers, All Other",Healthcare support,1652.0,1711.0,3.57,59.0,95.0,116.0,6.0,217.0,High school diploma or equivalent,59020.0,,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
33-1011,First-Line Supervisors of Correctional Officers,Protective service,409.0,415.0,1.47,6.0,14.0,19.0,1.0,34.0,High school diploma or equivalent,105620.0,33-1011.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
33-1012,First-Line Supervisors of Police and Detectives,Protective service,5517.0,5801.0,5.15,284.0,144.0,219.0,28.0,391.0,High school diploma or equivalent,112480.0,33-1012.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
33-1021,First-Line Supervisors of Firefighting and Prevention Worker,Protective service,3274.0,3418.0,4.4,144.0,87.0,123.0,14.0,224.0,Postsecondary non-degree award,100680.0,33-1021.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
33-1091,First-line Supervisors of Security Workers,Protective service,1553.0,1616.0,4.06,63.0,63.0,85.0,6.0,154.0,High school diploma or equivalent,61260.0,33-1091.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
33-1099,"First-Line Supervisors of Protective Service Workers, All Ot",Protective service,329.0,342.0,3.95,13.0,13.0,18.0,1.0,32.0,High school diploma or equivalent,79340.0,,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
33-2011,Firefighters,Protective service,12017.0,12543.0,4.38,526.0,246.0,660.0,53.0,959.0,Postsecondary non-degree award,73220.0,33-2011.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
33-2021,Fire Inspectors and Investigators,Protective service,111.0,116.0,4.5,5.0,4.0,7.0,0.0,11.0,Postsecondary non-degree award,86180.0,33-2021.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
33-3011,Bailiffs,Protective service,1081.0,1096.0,1.39,15.0,60.0,48.0,2.0,110.0,High school diploma or equivalent,82910.0,33-3011.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
33-3012,Correctional Officers and Jailers,Protective service,6945.0,6671.0,-3.95,-274.0,228.0,377.0,-27.0,578.0,High school diploma or equivalent,82890.0,33-3012.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
33-3021,Detectives and Criminal Investigators,Protective service,1002.0,1033.0,3.09,31.0,22.0,46.0,3.0,71.0,High school diploma or equivalent,118130.0,33-3021.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
33-3041,Parking Enforcement Workers,Protective service,323.0,322.0,-0.31,-1.0,14.0,14.0,0.0,28.0,High school diploma or equivalent,53980.0,33-3041.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
33-3051,Police and Sheriff's Patrol Officers,Protective service,17553.0,18381.0,4.72,828.0,426.0,877.0,83.0,1386.0,High school diploma or equivalent,83230.0,33-3051.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
33-9011,Animal Control Workers,Protective service,313.0,328.0,4.79,15.0,13.0,20.0,2.0,35.0,High school diploma or equivalent,61860.0,33-9011.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
33-9021,Private Detectives and Investigators,Protective service,532.0,565.0,6.2,33.0,18.0,27.0,3.0,48.0,High school diploma or equivalent,70110.0,33-9021.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
33-9032,Security Guards,Protective service,23891.0,24218.0,1.37,327.0,1221.0,1832.0,33.0,3086.0,High school diploma or equivalent,44760.0,33-9032.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
33-9091,Crossing Guards and Flaggers,Protective service,1275.0,1314.0,3.06,39.0,177.0,68.0,4.0,249.0,No formal educational credential,54410.0,33-9091.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Se",Protective service,2373.0,2565.0,8.09,192.0,344.0,327.0,19.0,690.0,No formal educational credential,37930.0,33-9092.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
33-9093,Transportation Security Screeners,Protective service,786.0,779.0,-0.89,-7.0,41.0,41.0,-1.0,81.0,High school diploma or equivalent,70950.0,33-9093.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
33-9094,School Bus Monitors,Protective service,2168.0,2267.0,4.57,99.0,277.0,127.0,10.0,414.0,High school diploma or equivalent,37340.0,33-9094.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
33-9099,"Protective Service Workers, All Other",Protective service,496.0,534.0,7.66,38.0,72.0,68.0,4.0,144.0,High school diploma or equivalent,53850.0,,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
35-1011,Chefs and Head Cooks,Food service,5722.0,6161.0,7.67,439.0,204.0,464.0,44.0,712.0,High school diploma or equivalent,73420.0,35-1011.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
35-1012,First-Line Supervisors of Food Preparation and Serving Worke,Food service,23822.0,25176.0,5.68,1354.0,1226.0,2231.0,135.0,3592.0,High school diploma or equivalent,52600.0,35-1012.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
35-2011,"Cooks, Fast Food",Food service,5146.0,4437.0,-13.78,-709.0,322.0,377.0,-71.0,628.0,No formal educational credential,40080.0,35-2011.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
35-2012,"Cooks, Institution and Cafeteria",Food service,7522.0,7874.0,4.68,352.0,518.0,606.0,35.0,1159.0,No formal educational credential,48750.0,35-2012.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
35-2013,"Cooks, Private Household",Food service,418.0,498.0,19.14,80.0,31.0,36.0,8.0,75.0,Postsecondary non-degree award,,35-2013.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
35-2014,"Cooks, Restaurant",Food service,31744.0,36268.0,14.25,4524.0,2287.0,2678.0,452.0,5417.0,No formal educational credential,45450.0,35-2014.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
35-2015,"Cooks, Short Order",Food service,4109.0,3847.0,-6.38,-262.0,268.0,313.0,-26.0,555.0,No formal educational credential,42700.0,35-2015.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
35-2019,"Cooks, All Other",Food service,241.0,254.0,5.39,13.0,17.0,20.0,1.0,38.0,No formal educational credential,66760.0,,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
35-2021,Food Preparation Workers,Food service,14967.0,14636.0,-2.21,-331.0,1244.0,1276.0,-33.0,2487.0,No formal educational credential,41030.0,35-2021.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
35-3011,Bartenders,Food service,21293.0,22484.0,5.59,1191.0,1133.0,2381.0,119.0,3633.0,No formal educational credential,45120.0,35-3011.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
35-3023,Fast Food and Counter Workers,Food service,81716.0,86327.0,5.64,4611.0,8651.0,10267.0,461.0,19379.0,No formal educational credential,35880.0,35-3023.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
35-3031,Waiters and Waitresses,Food service,50759.0,50324.0,-0.86,-435.0,4164.0,5815.0,-44.0,9935.0,No formal educational credential,44480.0,35-3031.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
35-3041,"Food Servers, Nonrestaurant",Food service,6274.0,6681.0,6.49,407.0,545.0,543.0,41.0,1129.0,No formal educational credential,38520.0,35-3041.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
35-9021,Dishwashers,Food service,12926.0,12948.0,0.17,22.0,1041.0,1035.0,2.0,2078.0,No formal educational credential,39100.0,35-9021.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",Food service,11323.0,11029.0,-2.6,-294.0,1490.0,1348.0,-29.0,2809.0,No formal educational credential,35420.0,35-9031.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
37-1011,First-Line Supervisors of Housekeeping and Janitorial Worker,Building & grounds,4733.0,4914.0,3.82,181.0,251.0,321.0,18.0,590.0,High school diploma or equivalent,60000.0,37-1011.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Gro",Building & grounds,3982.0,4102.0,3.01,120.0,143.0,261.0,12.0,416.0,High school diploma or equivalent,69750.0,37-1012.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaner",Building & grounds,58527.0,60193.0,2.85,1666.0,4191.0,4132.0,167.0,8490.0,No formal educational credential,45250.0,37-2011.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
37-2012,Maids and Housekeeping Cleaners,Building & grounds,21392.0,22104.0,3.33,712.0,1680.0,1404.0,71.0,3155.0,No formal educational credential,42390.0,37-2012.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
37-3011,Landscaping and Groundskeeping Workers,Building & grounds,25581.0,26558.0,3.82,977.0,1332.0,1975.0,98.0,3405.0,No formal educational credential,50540.0,37-3011.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
39-1013,First-Line Supervisors of Gambling Services Workers,Personal care,348.0,368.0,5.75,20.0,14.0,22.0,2.0,38.0,High school diploma or equivalent,,39-1013.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
39-1014,First-line Supervisors of Entertainment And Recreation Worke,Personal care,2819.0,3001.0,6.46,182.0,111.0,178.0,18.0,307.0,High school diploma or equivalent,60790.0,39-1014.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
39-1022,First-line Supervisors of Personal Service Workers,Personal care,3015.0,3230.0,7.13,215.0,119.0,192.0,22.0,333.0,High school diploma or equivalent,58330.0,39-1022.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
39-2011,Animal Trainers,Personal care,487.0,524.0,7.6,37.0,25.0,47.0,4.0,76.0,High school diploma or equivalent,49390.0,39-2011.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
39-2021,Animal Caretakers,Personal care,10021.0,11416.0,13.92,1395.0,662.0,1138.0,140.0,1940.0,High school diploma or equivalent,45080.0,39-2021.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
39-3031,"Ushers, Lobby Attendants, and Ticket Takers",Personal care,2876.0,2809.0,-2.33,-67.0,323.0,390.0,-7.0,706.0,No formal educational credential,35430.0,39-3031.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
39-3091,Amusement and Recreation Attendants,Personal care,4621.0,4853.0,5.02,232.0,504.0,696.0,23.0,1223.0,No formal educational credential,35690.0,39-3091.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
39-3092,Costume Attendants,Personal care,129.0,138.0,6.98,9.0,14.0,20.0,1.0,35.0,High school diploma or equivalent,53390.0,39-3092.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",Personal care,240.0,259.0,7.92,19.0,26.0,37.0,2.0,65.0,High school diploma or equivalent,41910.0,39-3093.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
39-4021,Funeral Attendants,Personal care,670.0,675.0,0.75,5.0,65.0,49.0,0.0,114.0,High school diploma or equivalent,46990.0,39-4021.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
39-4031,"Morticians, Undertakers, and Funeral Arrangers",Personal care,619.0,624.0,0.81,5.0,23.0,46.0,0.0,69.0,Associate's degree,64870.0,39-4031.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
39-5012,"Hairdressers, Hairstylists, and Cosmetologists",Personal care,17528.0,18143.0,3.51,615.0,992.0,1198.0,62.0,2252.0,Postsecondary non-degree award,49700.0,39-5012.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
39-5092,Manicurists and Pedicurists,Personal care,7478.0,7816.0,4.52,338.0,364.0,456.0,34.0,854.0,Postsecondary non-degree award,38750.0,39-5092.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
39-5094,Skincare Specialists,Personal care,1360.0,1419.0,4.34,59.0,69.0,122.0,6.0,197.0,Postsecondary non-degree award,48890.0,39-5094.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
39-6011,Baggage Porters and Bellhops,Personal care,707.0,694.0,-1.84,-13.0,41.0,61.0,-1.0,101.0,High school diploma or equivalent,42900.0,39-6011.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
39-6012,Concierges,Personal care,1360.0,1350.0,-0.74,-10.0,80.0,117.0,-1.0,196.0,High school diploma or equivalent,45100.0,39-6012.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
39-7010,Tour and Travel Guides,Personal care,1614.0,1784.0,10.53,170.0,158.0,208.0,17.0,383.0,High school diploma or equivalent,40620.0,,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
39-9011,Childcare Workers,Personal care,17556.0,17120.0,-2.48,-436.0,1325.0,1570.0,-44.0,2851.0,High school diploma or equivalent,42580.0,39-9011.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
39-9031,Exercise Trainers and Group Fitness Instructors,Personal care,13035.0,14863.0,14.02,1828.0,845.0,1636.0,183.0,2664.0,High school diploma or equivalent,72370.0,39-9031.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
39-9032,Recreation Workers,Personal care,10903.0,11670.0,7.03,767.0,813.0,1439.0,77.0,2329.0,High school diploma or equivalent,41320.0,39-9032.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
41-1011,First-Line Supervisors of Retail Sales Workers,Sales,27649.0,27102.0,-1.98,-547.0,1046.0,1548.0,-55.0,2539.0,High school diploma or equivalent,59510.0,41-1011.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
41-1012,First-Line Supervisors of Non-Retail Sales Workers,Sales,8905.0,8697.0,-2.34,-208.0,281.0,402.0,-21.0,662.0,High school diploma or equivalent,119760.0,41-1012.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
41-2011,Cashiers,Sales,61920.0,57499.0,-7.14,-4421.0,5840.0,5583.0,-442.0,10981.0,No formal educational credential,36860.0,41-2011.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
41-2012,Gambling Change Persons and Booth Cashiers,Sales,130.0,125.0,-3.85,-5.0,12.0,12.0,0.0,24.0,No formal educational credential,,41-2012.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
41-2021,Counter and Rental Clerks,Sales,5864.0,6071.0,3.53,207.0,287.0,354.0,21.0,662.0,No formal educational credential,47010.0,41-2021.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
41-2022,Parts Salespersons,Sales,4494.0,4655.0,3.58,161.0,202.0,284.0,16.0,502.0,No formal educational credential,49330.0,41-2022.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
41-2031,Retail Salespersons,Sales,89836.0,91588.0,1.95,1752.0,6043.0,6842.0,175.0,13060.0,No formal educational credential,39970.0,41-2031.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
41-3011,Advertising Sales Agents,Sales,1987.0,1836.0,-7.6,-151.0,61.0,130.0,-15.0,176.0,High school diploma or equivalent,90640.0,41-3011.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
41-3021,Insurance Sales Agents,Sales,12044.0,11627.0,-3.46,-417.0,423.0,494.0,-42.0,875.0,High school diploma or equivalent,103070.0,41-3021.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
41-3031,"Securities, Commodities, and Financial Services Sales Agents",Sales,14241.0,13940.0,-2.11,-301.0,360.0,622.0,-30.0,952.0,Bachelor's degree,124600.0,41-3031.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
41-3041,Travel Agents,Sales,2019.0,2048.0,1.44,29.0,96.0,118.0,3.0,217.0,High school diploma or equivalent,58810.0,41-3041.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
41-3091,"Sales Representatives of Services, Except Advertising, Insur",Sales,33015.0,33493.0,1.45,478.0,996.0,2187.0,48.0,3231.0,High school diploma or equivalent,98380.0,41-3091.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
41-4011,"Sales Representatives, Wholesale and Manufacturing, Technica",Sales,10214.0,10004.0,-2.06,-210.0,344.0,537.0,-21.0,860.0,Bachelor's degree,121440.0,41-4011.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
